commit_id,author,timestamp,modified_files,broken_files
0,Rafael,20/09/13 13:19,"['b', 'j']",[]
16,Donnatelo,20/09/13 13:23,"['g', 'd']",['d']
32,Rafael,20/09/13 13:26,['h'],[]
48,Rafael,20/09/13 13:32,"['b', 'a']","['b', 'a']"
64,Leonardo,20/09/13 13:33,['g'],['g']
80,Donnatelo,20/09/13 13:36,['e'],['e']
96,Donnatelo,20/09/13 13:36,"['g', 'j', 'd']","['d', 'g']"
112,Rafael,20/09/13 13:42,"['i', 'f', 'e', 'h']","['e', 'f', 'h', 'i']"
28,Rafael,20/09/13 13:46,"['g', 'e']",['e']
44,Rafael,20/09/13 13:49,"['e', 'i', 'f']","['i', 'e']"
